address,lat,lon
"ул. Генерации, д. 1",55.738696,37.397812
"ул. Генерации, д. 2",55.571161,37.706761
"ул. Генерации, д. 3",55.791887,37.391386
"ул. Генерации, д. 4",55.790812,37.848438
"ул. Генерации, д. 5",55.568406,37.50688
"ул. Генерации, д. 6",55.750225,37.399732
"ул. Генерации, д. 7",55.787298,37.460916
"ул. Генерации, д. 8",55.530841,37.581806
"ул. Генерации, д. 9",55.540646,37.463686
"ул. Генерации, д. 10",55.66637,37.560165
"ул. Генерации, д. 11",55.557675,37.863809
"ул. Генерации, д. 12",55.885461,37.88595
"ул. Генерации, д. 13",55.559953,37.823445
"ул. Генерации, д. 14",55.885549,37.436124
"ул. Генерации, д. 15",55.635748,37.60568
"ул. Генерации, д. 16",55.620283,37.689196
"ул. Генерации, д. 17",55.787999,37.775895
"ул. Генерации, д. 18",55.775439,37.500929
"ул. Генерации, д. 19",55.504386,37.471319
"ул. Генерации, д. 20",55.798489,37.896257
"ул. Генерации, д. 21",55.526107,37.649178
"ул. Генерации, д. 22",55.823298,37.634645
"ул. Генерации, д. 23",55.803827,37.71763
"ул. Генерации, д. 24",55.670727,37.426656
"ул. Генерации, д. 25",55.835946,37.555977
"ул. Генерации, д. 26",55.820261,37.597842
"ул. Генерации, д. 27",55.707683,37.806304
"ул. Генерации, д. 28",55.549153,37.300109
"ул. Генерации, д. 29",55.758022,37.559499
"ул. Генерации, д. 30",55.696806,37.367953
"ул. Генерации, д. 31",55.544738,37.825687
"ул. Генерации, д. 32",55.779775,37.474449
"ул. Генерации, д. 33",55.65849,37.656561
"ул. Генерации, д. 34",55.558201,37.355027
"ул. Генерации, д. 35",55.6078,37.811476
"ул. Генерации, д. 36",55.777373,37.340157
"ул. Генерации, д. 37",55.635155,37.733871
"ул. Генерации, д. 38",55.78365,37.725634
"ул. Генерации, д. 39",55.645667,37.568422
"ул. Генерации, д. 40",55.735339,37.665187
"ул. Генерации, д. 41",55.716563,37.739329
"ул. Генерации, д. 42",55.584406,37.860877
"ул. Генерации, д. 43",55.765659,37.599755
"ул. Генерации, д. 44",55.85184,37.701575
"ул. Генерации, д. 45",55.601237,37.659413
"ул. Генерации, д. 46",55.812615,37.454102
"ул. Генерации, д. 47",55.871904,37.45451
"ул. Генерации, д. 48",55.559967,37.306279
"ул. Генерации, д. 49",55.715323,37.414963
"ул. Генерации, д. 50",55.629205,37.877613
"ул. Генерации, д. 51",55.650653,37.360067
"ул. Генерации, д. 52",55.750826,37.645333
"ул. Генерации, д. 53",55.898993,37.482344
"ул. Генерации, д. 54",55.691446,37.60234
"ул. Генерации, д. 55",55.593714,37.809954
"ул. Генерации, д. 56",55.599464,37.523622
"ул. Генерации, д. 57",55.64249,37.618001
"ул. Генерации, д. 58",55.648278,37.346372
"ул. Генерации, д. 59",55.592978,37.511452
"ул. Генерации, д. 60",55.784268,37.345804
"ул. Генерации, д. 61",55.57877,37.636898
"ул. Генерации, д. 62",55.702914,37.64883
"ул. Генерации, д. 63",55.707732,37.893665
"ул. Генерации, д. 64",55.584322,37.370636
"ул. Генерации, д. 65",55.588897,37.813592
"ул. Генерации, д. 66",55.623794,37.561933
"ул. Генерации, д. 67",55.670766,37.785793
"ул. Генерации, д. 68",55.593384,37.405858
"ул. Генерации, д. 69",55.766834,37.737649
"ул. Генерации, д. 70",55.678246,37.698755
"ул. Генерации, д. 71",55.718637,37.732707
"ул. Генерации, д. 72",55.591947,37.559564
"ул. Генерации, д. 73",55.766471,37.513205
"ул. Генерации, д. 74",55.562196,37.645156
"ул. Генерации, д. 75",55.822196,37.389055
"ул. Генерации, д. 76",55.506807,37.612015
"ул. Генерации, д. 77",55.865423,37.860044
"ул. Генерации, д. 78",55.633828,37.367197
"ул. Генерации, д. 79",55.869922,37.517292
"ул. Генерации, д. 80",55.570731,37.498439
"ул. Генерации, д. 81",55.858904,37.607555
"ул. Генерации, д. 82",55.821832,37.442598
"ул. Генерации, д. 83",55.589067,37.575486
"ул. Генерации, д. 84",55.600896,37.595742
